,title,location,bedrooms,bathrooms,price,rate
0,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
1,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
2,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
3,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
4,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
5,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
6,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
7,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
8,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
9,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
10,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
11,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
12,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
13,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
14,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
15,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
16,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
17,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
18,FlattorentinNyali,"Nyali,Mombasa",3,2,45000,PerMonth
19,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
20,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
21,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
22,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
23,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
24,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
25,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
26,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
27,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
28,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
29,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
30,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
31,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
32,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
33,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
34,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
35,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
36,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
37,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
38,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
39,FlattorentinNyali,"Nyali,Mombasa",3,2,45000,PerMonth
40,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
