,location,bedrooms,bathrooms,price
0,150,4,4,155000
1,218,3,3,100000
2,166,3,3,75000
3,218,3,3,135000
4,174,3,2,50000
5,534,2,2,150000
6,375,2,2,100000
7,540,3,3,100000
8,513,4,2,85000
9,218,2,2,65000
10,429,2,2,95000
11,515,3,3,75000
12,214,3,2,65000
13,467,1,1,85000
14,458,3,3,220000
15,413,3,3,120000
16,534,1,1,50000
17,454,2,2,85000
18,496,1,1,13000
19,278,2,1,13000
20,471,1,1,13000
21,560,1,1,13000
22,477,2,1,14000
23,471,2,1,15000
24,529,1,1,15000
25,208,1,1,15000
26,556,2,1,15000
27,277,2,2,16000
28,200,1,1,16000
29,56,2,1,16000
30,370,1,1,16000
31,187,1,1,16000
32,223,3,3,98000
33,150,3,3,200000
34,487,1,1,16000
35,471,1,1,16000
36,66,1,1,17000
37,501,1,1,17000
38,478,2,2,17000
39,471,2,2,17000
40,402,2,2,17000
41,174,1,1,17500
42,474,2,2,18000
43,508,1,1,18000
44,155,1,1,20000
45,351,1,1,20000
46,199,2,2,20000
47,218,2,2,70000
48,64,2,2,75000
49,266,1,1,20000
50,69,2,2,20000
51,471,1,1,20000
52,423,2,2,20000
54,403,2,1,20000
55,232,2,2,20000
56,213,2,2,22000
57,164,2,1,22000
58,370,2,1,22000
59,467,3,3,280000
60,266,1,1,23000
61,232,2,2,23000
62,528,2,2,24000
63,346,1,1,24000
64,135,3,2,25000
65,266,2,2,25000
66,471,1,1,25000
67,174,2,2,25000
68,519,2,2,25000
69,345,2,1,25000
70,471,1,1,25000
71,281,3,3,100000
72,266,1,1,25000
73,70,2,1,25000
74,133,1,1,26000
75,371,1,1,27000
76,471,2,2,28000
77,507,2,2,28000
78,213,2,2,28000
79,266,2,2,28000
80,276,2,2,28000
82,326,5,5,200000
83,266,2,2,28000
84,234,1,1,30000
85,516,2,1,30000
86,420,2,2,30000
87,194,1,1,30000
88,214,1,1,30000
89,266,2,2,30000
91,42,1,1,30000
92,583,2,2,30000
93,343,1,1,30000
94,362,2,2,30000
95,266,1,1,30000
96,507,3,2,30000
97,511,2,2,175000
98,458,3,3,145000
99,315,2,2,30000
100,293,2,2,30000
101,339,2,2,30000
