,location,bedrooms,bathrooms,price
0,"General Mathenge, Westlands",4,4,155000
1,"Kilimani, Dagoretti North",3,3,100000
2,"Hatheru Rd,, Lavington, Dagoretti North",3,3,75000
3,"Kilimani, Dagoretti North",3,3,135000
4,"Imara Daima, Embakasi",3,2,50000
5,"Waiyaki Way, Westlands",2,2,150000
6,"Off Denis Pritt, Kilimani, Dagoretti North",2,2,100000
7,"Westlands Area, Westlands",3,3,100000
8,"Thika Road, Thika Road",4,2,85000
9,"Kilimani, Dagoretti North",2,2,65000
10,"Raphta rd, Rhapta Road, Westlands",2,2,95000
11,"Thindigua, Thindigua",3,3,75000
12,"Kileleshwa, Dagoretti North",3,2,65000
13,"Riverside, Westlands",1,1,85000
14,"Riverside Drive, Riverside, Westlands",3,3,220000
15,"Parklands, Westlands",3,3,120000
16,"Waiyaki Way, Westlands",1,1,50000
17,"Riara, Lavington, Dagoretti North",2,2,85000
18,"Sports Road, Waiyaki Way, Westlands",1,1,13000
19,"MUIRU, Ruaka, Kiambaa",2,1,13000
20,"Ruaka, Kiambaa",1,1,13000
21,"fisharies, mtambo bamburi road, Bamburi, Kisauni",1,1,13000
22,"SHULE, Ruaka, Kiambaa",2,1,14000
23,"Ruaka, Kiambaa",2,1,15000
24,"Uthiru 87, Waiyaki Way, Uthiru/Ruthimitu, Dagoretti South",1,1,15000
25,"Kiambu Road, Kiambu Road",1,1,15000
26,"Zimmerman, Zimmermann, Roysambu",2,1,15000
27,"MUCHATHA- NATIONAL OIL, Ruaka, Kiambaa",2,2,16000
28,"Kasarani Area, Kasarani",1,1,16000
29,"Along Kikuyu Road, Uthiru/Ruthimitu, Dagoretti South",2,1,16000
30,"Ngong, Kajiado North",1,1,16000
31,"Kahigu Road-Ruaka, Ruaka, Kiambaa",1,1,16000
32,"Kindaruma Road, Kilimani, Dagoretti North",3,3,98000
33,"General Mathenge, Westlands",3,3,200000
34,"Seasons, Kasarani Area, Kasarani",1,1,16000
35,"Ruaka, Kiambaa",1,1,16000
36,"Athi River Area, Athi River",1,1,17000
37,"Sub zone, Ngong",1,1,17000
38,"SLAUGHTER, Ruaka, Kiambaa",2,2,17000
39,"Ruaka, Kiambaa",2,2,17000
40,"Oloolua Rd, Ngong, Kajiado North",2,2,17000
41,"Imara Daima, Embakasi",1,1,17500
42,"Ruaka-Banana, Ruaka, Kiambaa",2,2,18000
43,"THOGOTO, Kikuyu Town, Kikuyu",1,1,18000
44,"Getathuru, Kitisuru, Westlands",1,1,20000
45,"Ndwaru, Riruta, Dagoretti South",1,1,20000
46,"Kasarani - Mwiki Rd, Kasarani Area, Kasarani",2,2,20000
47,"Kilimani, Dagoretti North",2,2,70000
48,"Arwings Kodheck, Kilimani, Dagoretti North",2,2,75000
49,"Limuru Road, Ruaka, Kiambaa",1,1,20000
50,"BYPASS, EASTERN BYPASS, Ruiru, Ruiru",2,2,20000
51,"Ruaka, Kiambaa",1,1,20000
52,"RUMENYE, Ruaka, Kiambaa",2,2,20000
53,"Limuru Road, Ruaka, Kiambaa",1,1,20000
54,"Ongata Rongai, Kajiado North",2,1,20000
55,"Kisumu Central Area, Kisumu Central",2,2,20000
56,"Kikuyu Town, Kikuyu",2,2,22000
57,"Gravilla Estate, Kabete Area, Kabete",2,1,22000
58,"Ngong, Kajiado North",2,1,22000
59,"Riverside, Westlands",3,3,280000
60,"Limuru Road, Ruaka, Kiambaa",1,1,23000
61,"Kisumu Central Area, Kisumu Central",2,2,23000
62,"Utawala, Embakasi",2,2,24000
63,"Nairobi West, Langata",1,1,24000
64,"Garissa Road, Thika, Thika",3,2,25000
65,"Limuru Road, Ruaka, Kiambaa",2,2,25000
66,"Ruaka, Kiambaa",1,1,25000
67,"Imara Daima, Embakasi",2,2,25000
68,"Thogoto -DAVAN APARTMENT, Thogoto, Kikuyu Town, Kikuyu",2,2,25000
69,"NGONG ROAD, NGONG ROAD, Dagoretti Corner, Dagoretti South",2,1,25000
70,"Ruaka, Kiambaa",1,1,25000
71,"Makueni Rd, Kileleshwa, Dagoretti North",3,3,100000
72,"Limuru Road, Ruaka, Kiambaa",1,1,25000
73,"BYPASS, NORTHERN BYPASS, Ruiru, Ruiru",2,1,25000
74,"Garden Estate, Garden Estate, Roysambu",1,1,26000
75,"Ngumo Central, Ngumo Estate, Langata",1,1,27000
76,"Ruaka, Kiambaa",2,2,28000
77,"Syokimau, Athi River",2,2,28000
78,"Kikuyu Town, Kikuyu",2,2,28000
79,"Limuru Road, Ruaka, Kiambaa",2,2,28000
80,"MOMBASA ROAD, Mombasa Road, Mombasa Road",2,2,28000
81,"Syokimau, Athi River",2,2,28000
82,"Muringa Road, Kilimani, Dagoretti North",5,5,200000
83,"Limuru Road, Ruaka, Kiambaa",2,2,28000
84,"Kisumu West, Kisumu West",1,1,30000
85,"Thindigua, Tsavo Apartments, Kiambu Road, Kiambu Road",2,1,30000
86,"Phase 2, Thika East, Thika East",2,2,30000
87,"Karen, Karen, Langata",1,1,30000
88,"Kileleshwa, Dagoretti North",1,1,30000
89,"Limuru Road, Ruaka, Kiambaa",2,2,30000
90,"Limuru Road, Ruaka, Kiambaa",2,2,30000
91,"3rd, 3rd avenue, Parklands, Westlands",1,1,30000
92,"mtwapa, Mtwapa, Kilifi South",2,2,30000
93,"NA, Racecourse, Ngong Road, Ngong Road",1,1,30000
94,"New Kitusuru, Westlands",2,2,30000
95,"Limuru Road, Ruaka, Kiambaa",1,1,30000
96,"Syokimau, Athi River",3,2,30000
97,"Thigiri, Westlands",2,2,175000
98,"Riverside Drive, Riverside, Westlands",3,3,145000
99,"Mombasa Road, Mombasa Road",2,2,30000
100,"Maziwa rd, Imara Daima, Embakasi",2,2,30000
101,"Mwimuto, Kiambu Town, Kiambu Town",2,2,30000
102,"Ruaka, Kiambaa",2,2,32000
103,"Ngong Rd, Ngong Road, Ngong Road",1,1,32000
104,"Limuru Road, Ruaka, Kiambaa",2,2,32500
105,"Five Star Gardens, 5 Star Gardens Off Airport View Road, Syokimau, Athi River",3,2,33000
106,"Near Watakatifu Centre, Kahara Road, Ngong, Kajiado North",3,2,33000
107,"Kisumu Road, Eldoret North, Eldoret North",3,3,33500
108,"Ruaka, Kiambaa",1,1,35000
109,"Kiamumbi, Windsor, Kiambu Constituency",2,2,35000
110,"Nairobi West, Langata",1,1,35000
111,"Kileleshwa, Dagoretti North",1,1,35000
112,"Kiambu Road, Kiambu Road",1,1,35000
113,"Laikipia Road, Kileleshwa, Dagoretti North",2,2,130000
114,"Migaa, Kiambu Road, Kiambu Road",1,1,35000
115,"Imara Daima, Embakasi",2,2,35000
116,"Beijing Road, Off Mombasa Road, Syokimau, Athi River",3,2,35000
117,"Imara Daima, Embakasi",2,2,35000
118,"Lower Kabete, Westlands",2,2,35000
119,"Limuru Road, Ruaka, Kiambaa",2,2,35000
120,"Kahawa Sukari, Roysambu",2,2,35000
121,"Langata Area, Langata",2,1,35000
122,"Imara Daima, Embakasi",2,2,35000
123,"Denis Pritt, Kilimani, Dagoretti North",1,1,35000
124,"BEIJING ROAD, Syokimau, Athi River",3,2,35000
125,"Nyayo Estate, Baraka/Nyayo, Embakasi",3,2,35000
126,"Syokimau, Athi River",3,3,35000
127,"Dennis Pritt, Lavington, Dagoretti North",3,3,90000
128,"Lenana road, Kilimani, Dagoretti North",3,3,100000
129,"Limuru Road, Ruaka, Kiambaa",2,1,35000
130,"1, Chambers, Ngara, Starehe",2,2,35000
131,"Westlands Area, Westlands",1,1,35000
132,"Garden Estate, Roysambu",2,2,35000
133,"Syokimau, Athi River",3,2,35000
134,"Tatu City, Unity West, Ruiru, Ruiru",2,2,35750
135,"Gacharage, Ruaka, Kiambaa",2,2,37000
136,"Hellen Drive, Ruaka, Kiambaa",2,2,38000
137,"Ruaka, Kiambaa",2,2,38000
138,"Thiong'o, Mountain View, Westlands",2,2,38000
139,"Next To Uthiru Genesis Boarding School, Kinoo, Kabete",3,2,38000
140,"Ruaka Joyland, Limuru Road, Ruaka, Kiambaa",2,2,38000
141,"Ruaka, Kiambaa",3,2,38000
142,"Riverside Drive, Riverside, Westlands",2,1,38000
143,"Kiambere Road, Upper Hill, Langata",3,2,240000
144,"kikambala road, Kileleshwa, Dagoretti North",3,3,85000
145,"Masaba Road, Upper Hill, Langata",1,1,38000
146,"Ruaka, Kiambaa",2,2,38000
147,"Mbagathi way, Ngumo Estate, Langata",2,1,39000
148,"Limuru road, Ruaka, Kiambaa",2,2,40000
149,"Maloi Apartments, Masai Lodge Road, Ongata Rongai, Kajiado North",3,2,40000
150,"Naivasha Road, Naivasha Road, Dagoretti North",1,1,40000
151,"Gacharage, Ruaka, Kiambaa",2,2,40000
152,"Ngara, Starehe",2,2,40000
153,"Ole Sangale, Madaraka, Langata",3,1,40000
154,"Naivasha Road, Dagoretti North",2,2,40000
155,"kiambu road, Thindigua, Thindigua",2,2,40000
156,"kilimani, kilimani, Kilimani, Dagoretti North",1,1,40000
157,"Parklands, Westlands",3,1,40000
158,"Naivasha Road, Dagoretti North",2,2,40000
159,"Kamiti, Kiambaa",2,2,40000
160,"Thika Road, Thika Road",2,2,40000
161,"Madaraka, Langata",2,1,40000
162,"Precious Gardens Estate, Riruta, Dagoretti South",3,3,40000
163,"Ruaka, Kiambaa",2,2,40000
164,"Limuru Road, Ruaka, Kiambaa",2,2,40000
165,"Limuru Road, Ruaka, Kiambaa",2,2,40000
166,"Limuru Road, Ruaka, Kiambaa",3,2,40000
167,"Limuru Road, Ruaka, Kiambaa",3,2,40000
168,"Makadara, Makadara",2,1,40000
169,"Naivasha Road, Naivasha Road, Dagoretti North",2,2,40000
170,"Ruaka, Kiambaa",2,2,40000
171,"Mbaazi Avenue, Lavington, Dagoretti North",1,1,40000
172,"Karen-Dagoretti Road, Karen, Langata",2,2,40000
173,"Koma Rock, Kangundo",3,2,40000
174,"Ruaka, Kiambaa",2,2,40000
175,"Mombasa Rd, Syokimau, Athi River",3,2,40000
176,"Ruaka, Kiambaa",3,2,42000
177,"Riara Heights, Naivasha Road, Dagoretti Corner, Dagoretti South",2,1,42500
178,"Garden Estate Rd, Garden Estate, Roysambu",2,2,43000
179,"USIU, SAFARI PARK AREA, Safari Park, Thika Road, Thika Road, Thika Road",2,2,43000
180,"Ruaka, Ruaka, Ruaka, Kiambaa",2,2,43000
181,"Naivasha Road, Dagoretti North",2,2,43500
182,"Gala lane, Ngara, Starehe",2,1,44000
183,"Mombasa Road, Mombasa Road",2,2,44000
184,"Ngong Racecourse, Ngong Road, Ngong Road",1,1,45000
185,"Limuru Road, Ruaka, Kiambaa",2,2,45000
186,"Naivasha Road, Dagoretti North",3,2,45000
187,"Kamiti Road, Jacaranda Gardens, Kahawa West, Roysambu",2,2,45000
188,"2, Karen road, Karen, Langata",2,2,45000
189,"Kileleshwa, Dagoretti North",2,2,45000
190,"Ruaka, Kiambaa",3,1,45000
191,"Ruaka, Kiambaa",2,2,45000
192,"New Kitisuru, Kitisuru, Westlands",3,2,45000
193,"Nairobi West, Langata",2,2,45000
194,"Kasarani Area, Kasarani",3,2,45000
195,"Syokimau, Athi River",3,3,45000
196,"Chambers Road, Ngara, Starehe",3,3,45000
197,"Thindigua, Thindigua",2,2,45000
198,"Ruaka, Kiambaa",2,2,45000
199,"Langata Area, Langata",2,2,45000
200,"Langata Area, Langata",2,2,45000
