Agency,location,bedrooms,bathrooms,price
Buy Rent Shelters,"General Mathenge, Westlands",4,4,155000
Kenya Classic Homes,"Kilimani, Dagoretti North",3,3,100000
Absolute Estate Agents,"Hatheru Rd,, Lavington, Dagoretti North",3,3,75000
A1 Properties Limited,"Kilimani, Dagoretti North",3,3,135000
Pmc Estates Limited,"Imara Daima, Embakasi",3,2,50000
Lizmor Properties,"Waiyaki Way, Westlands",2,2,150000
Mambo Properties Enterprise,"Off Denis Pritt, Kilimani, Dagoretti North",2,2,100000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,100000
Pmc Estates Limited,"Thika Road, Thika Road",4,2,85000
Naftal Properties,"Kilimani, Dagoretti North",2,2,65000
Dakima Home International,"Raphta rd, Rhapta Road, Westlands",2,2,95000
Opus Properties,"Thindigua, Thindigua",3,3,75000
Realty Plus,"Kileleshwa, Dagoretti North",3,2,65000
Pam Golding Properties,"Riverside, Westlands",1,1,85000
Yellow Market,"Riverside Drive, Riverside, Westlands",3,3,220000
Hyra Real Estate Ltd,"Parklands, Westlands",3,3,120000
Dunhill Consulting Limited,"Waiyaki Way, Westlands",1,1,50000
Green Knight Properties,"Riara, Lavington, Dagoretti North",2,2,85000
Real Management Services 2002Limited,"Sports Road, Waiyaki Way, Westlands",1,1,13000
Estate Masters Limited,"MUIRU, Ruaka, Kiambaa",2,1,13000
Homekenya24,"Ruaka, Kiambaa",1,1,13000
Kitheka Musyoka,"fisharies, mtambo bamburi road, Bamburi, Kisauni",1,1,13000
Estate Masters Limited,"SHULE, Ruaka, Kiambaa",2,1,14000
Estate Masters Limited,"Ruaka, Kiambaa",2,1,15000
Habitat Realtors International Ltd,"Uthiru 87, Waiyaki Way, Uthiru/Ruthimitu, Dagoretti South",1,1,15000
Royani Properties Limited,"Kiambu Road, Kiambu Road",1,1,15000
Unique Casles Management Ltd,"Zimmerman, Zimmermann, Roysambu",2,1,15000
Estate Masters Limited,"MUCHATHA- NATIONAL OIL, Ruaka, Kiambaa",2,2,16000
Wainaina Real Estate Agents,"Kasarani Area, Kasarani",1,1,16000
Havilaplus Estates Ltd,"Along Kikuyu Road, Uthiru/Ruthimitu, Dagoretti South",2,1,16000
Ngong Hills Agency,"Ngong, Kajiado North",1,1,16000
Estate Masters Limited,"Kahigu Road-Ruaka, Ruaka, Kiambaa",1,1,16000
Chelezo Residency,"Kindaruma Road, Kilimani, Dagoretti North",3,3,98000
Origin Homes,"General Mathenge, Westlands",3,3,200000
Opus Properties,"Seasons, Kasarani Area, Kasarani",1,1,16000
Cfs Homes,"Ruaka, Kiambaa",1,1,16000
Pmc Estates Limited,"Athi River Area, Athi River",1,1,17000
Canaan Properties,"Sub zone, Ngong",1,1,17000
Estate Masters Limited,"SLAUGHTER, Ruaka, Kiambaa",2,2,17000
Estate Masters Limited,"Ruaka, Kiambaa",2,2,17000
Havilaplus Estates Ltd,"Oloolua Rd, Ngong, Kajiado North",2,2,17000
Unique Casles Management Ltd,"Imara Daima, Embakasi",1,1,17500
Estate Masters Limited,"Ruaka-Banana, Ruaka, Kiambaa",2,2,18000
Havilaplus Estates Ltd,"THOGOTO, Kikuyu Town, Kikuyu",1,1,18000
The Epic Properties,"Getathuru, Kitisuru, Westlands",1,1,20000
Westside Real Estate,"Ndwaru, Riruta, Dagoretti South",1,1,20000
Wainaina Real Estate Agents,"Kasarani - Mwiki Rd, Kasarani Area, Kasarani",2,2,20000
Tysons Limited,"Kilimani, Dagoretti North",2,2,70000
Crystal Valuers Ltd,"Arwings Kodheck, Kilimani, Dagoretti North",2,2,75000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",1,1,20000
Sunland Real Estates Limited,"BYPASS, EASTERN BYPASS, Ruiru, Ruiru",2,2,20000
Homekenya24,"Ruaka, Kiambaa",1,1,20000
Estate Masters Limited,"RUMENYE, Ruaka, Kiambaa",2,2,20000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",1,1,20000
Pmc Estates Limited,"Ongata Rongai, Kajiado North",2,1,20000
Cmt Realtors,"Kisumu Central Area, Kisumu Central",2,2,20000
Havilaplus Estates Ltd,"Kikuyu Town, Kikuyu",2,2,22000
Havilaplus Estates Ltd,"Gravilla Estate, Kabete Area, Kabete",2,1,22000
Havilaplus Estates Ltd,"Ngong, Kajiado North",2,1,22000
Sema Estate Agents,"Riverside, Westlands",3,3,280000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",1,1,23000
Cmt Realtors,"Kisumu Central Area, Kisumu Central",2,2,23000
Havilaplus Estates Ltd,"Utawala, Embakasi",2,2,24000
Realty Plus,"Nairobi West, Langata",1,1,24000
Opus Properties,"Garissa Road, Thika, Thika",3,2,25000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,25000
Homekenya24,"Ruaka, Kiambaa",1,1,25000
Civic Capital,"Imara Daima, Embakasi",2,2,25000
Havilaplus Estates Ltd,"Thogoto -DAVAN APARTMENT, Thogoto, Kikuyu Town, Kikuyu",2,2,25000
Sunland Real Estates Limited,"NGONG ROAD, NGONG ROAD, Dagoretti Corner, Dagoretti South",2,1,25000
Cfs Homes,"Ruaka, Kiambaa",1,1,25000
Pc Properties Real Estate Agency,"Makueni Rd, Kileleshwa, Dagoretti North",3,3,100000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",1,1,25000
